comments,category
i booked two tatkal ticket from lko to delhi paying around 5 k. I am not able to change boarding point as i booked ticket less then 24 hours ago. Need to board train from Kanpur. Can not go to station as i am in a villge very far from kanpur. Feeling helpless.,request new service
I booked wheelchair online TID 0002929839 for train no 12210 on 6 3 for aged mother Waited 15 mins at Lucknow station No phone No wheelchair arrived Service does not work Disappointed,poor service
I can't find my station on App,request new service
I can't find my station on App am in railway station but App unable to locate station please also provide off GPS selection too,poor service
I can't sleep by seeing the cobweb..,hygiene
I can't travel whole night standing,poor service
I cancelled my ticket 2 months ago but I haven't gotten refund of rupees 555.,refund
I cancelled my train tickets worth 900 on 22nd Feb and was told that I will get a refund of 720 but there's no response yet The so called 247 customer care number never answers our call Highly irresponsible My PNR NUMBER 4341582095,staff complain
I carried a general ticket and boarded the sleeper coach. TC has charged me fine of 370 which is absolutely correct. But the reciept he has given me was a carbon copy not the original one. Means now he can tear off. pic.twitter.com/s1s3x7Hxzd,staff complain
I cmplaint about the condition of train but u have no time for reply but now u have time for promoting the govt shit,poor service
I complained about taking Rs 40 by a TT at Sheorahphully stn near not know whether TT was asked for the reason,staff complain
I deepak keshri is travelling from dhanbad to mumbai in hawrah mumbai mail train no 12321 coach B4 seat 45 dated 11 03 2018 My bad luck that just before the journey I missed my window ticket And I am not carrying cash My journey is very urgent But t C Is misbehaving,staff complain
I did not travel on this date n i did cancelled the ticket as it was only in RAC status after charting however this reason has came How did the TC check the ticket n ID card I travelled on 12 feb Pnr 6209574152 is it possible to travel on 2 consec dates????,poor service
I did not use But I was stand over there while a man arguining about urinate urinal charges However it was mentioned free The person who taken tender forcefully charged as it was pay use facility,staff complain
I didn't get the refund plz help pic.twitter.com/SXRIhTn72V,refund
I don t understand what kind of maintenance work is always going on between Nagpur Bilaspur All the trains are late atleast by 2 hours has no value for people s time,train delay
I don't know why this tarin (15209) always runs late each and every day I m victim today. Or general boggy train deserve this ?,train delay
I expect railway to kindly add mirzapur as stoppage in 12149/12150 for just 2 min as passenger have to travel from mzp to ald and to acoi in midnight which create problem in case of ladies hope railway will think for mzp atleast single train for mzp,request new service
I feel proud about Indian women keep it up,appreciation
I feel with 120 days advance Reservations no one can plan travel,request new service
I filled TDR Because train was late for 4 hours i checked refund status that showing refund approved payment pending only Date 21 01 2018 pnr 2241520279,poor service
I forgot my Iphone 7 charger in TN 12801 today at New Delhi (destination stn of train) Coach B1 20. PNR 6612237488,request new service
I got no REFUND??,refund
I got one call but that cop saying this area is not under it People still doing drnking,security problem
I had all my study material saved in my laptop for the upcoming exam next month I complained police at Madgaon filed FIR at Bhatkal Station and also at Udupi station I request Railway team to please find the bag and also the robbers 3 n,security problem
I had booked my scooty as parcel on 09 03 2018 in train no 12566 from New delhi NDLS to Muzaffarpur MFP It was loaded the same day But still I have not recieved my parcel at MFP PRR 4000736963Kindly look into the situation,poor service
I had cancelled my e ticket and the amount is still not refunded pnr no 2823420395Plz see to itIs this how irctc online transaction works??,poor service
I had earliest suggested to introduce fire tender coach in trains for safety of passengers is my suggestion not worth?,staff complain
I had filed a TDR on 28.10.2017 due to train was late for more than three hours. After the completion of 4 months,refund
I had missed my flight due to railway's mismanagement. The total loss 8768+ 8003.,train delay
I had to catch a flight at 7:55 in morning from kolkata so I booked train ticket from tatanagar to hwh of timing 23:35 but due to ache din the train came at 0:05 and at 2:00 hrs it's still at tatanagar station,train delay
I had to catch a flight at 7:55 in morning from kolkata so I booked train ticket from tatanagar to hwh of timing 23:35 but due to ache din the train came at 0:05 and at 2:00 hrs it's still at tatanagar station,train delay
I hate ur management train m combal nhi train bhi late pesha poora chahiy,train delay
I have a few suggestions on Super fast train it seems that you are doing good job at all just we want to feel it too please revert,poor service
I have a puzzle for you solve thisTrain 13247 travels 50 kms in more than 2 hours whats the average speed?,train delay
